T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
6.4899,179162
6.49372,156850
6.49752,146193
6.50133,147919
6.50515,161376
6.50897,187379
6.51277,226259
6.51658,277710
6.5204,338413
6.52422,401976
6.52802,461484
6.53183,511766
6.53565,550610
6.53947,577521
6.54327,593923
6.54708,602497
6.5509,607261
6.55472,612104
6.55853,620415
6.56233,637781
6.56615,670087
6.56997,721878
6.57378,794287
6.57758,883031
6.5814,973979
6.58522,1046181
6.58903,1074607
6.59283,1048636
6.59665,972942
6.60047,862105
6.60428,734380
6.60808,609169
6.6119,499878
6.61572,410794
6.61953,342431
6.62333,293877
6.62715,261601
6.63097,242414
6.63478,236679
6.63858,247149
6.6424,273643
6.64622,313562
6.65003,360336
6.65383,410556
6.65765,462748
6.66147,515616
6.66528,568527
6.6691,623937
6.6729,682051
6.67672,738248
6.68053,782566
6.68435,804687
6.68815,796710
6.69197,757674
6.69578,695733
6.6996,621571
6.7034,541646
6.70722,461642
6.71103,389704
6.71485,329389
6.71865,279119
6.72247,236074
6.72628,201099
6.7301,172666
6.7339,149249
6.73772,130280
6.74153,119299
6.74535,120988
6.74915,144398
6.75297,203571
6.75678,317799
6.7606,506237
6.7644,778894
6.76822,1130773
6.77203,1536229
6.77585,1946431
6.77967,2298444
6.78347,2538386
6.78728,2635421
6.7911,2585697
6.79492,2412399
6.79872,2159690
6.80253,1881037
6.80635,1620879
6.81017,1410331
6.81397,1247539
6.81778,1127303
6.8216,1039899
6.82542,976945
6.82922,932738
6.83303,902937
6.83685,885111
6.84067,876416
6.84447,869960
6.84828,858808
6.8521,835025
6.85592,788837
6.85972,722082
6.86353,638702
6.86735,549277
6.87117,461895
6.87497,386243
6.87878,328974
6.8826,288598
6.88642,263530
6.89023,250915
6.89403,247289
6.89785,246789
6.90167,244499
6.90548,238827
6.90928,232244
6.9131,228084
6.91692,228165
6.92073,233951
6.92453,243238
6.92835,256914
6.93217,272400
6.93598,287118
6.93978,297030
6.9436,300928
6.94742,301348
6.95123,301877
6.95503,304981
6.95885,312401
6.96267,325661
6.96648,344166
6.97028,364855
6.9741,383388
6.97792,395554
6.98173,397429
6.98553,384411
6.98935,355505
6.99317,316063
6.99698,271868
7.00078,227891
7.0046,189212
7.00842,158554
7.01223,138379
7.01605,127807
7.01985,124913
7.02367,125502
7.02748,126732
7.0313,127396
7.0351,126813
7.03892,123871
7.04273,118988
7.04655,112787
7.05035,106464
7.05417,100024
7.05798,94024
7.0618,88732
7.0656,85165
7.06942,83260
7.07323,83212
7.07705,85423
7.08085,90840
7.08467,101094
7.08848,116588
7.0923,139236
7.0961,170928
7.09992,212346
7.10373,263495
7.10755,322799
7.11135,384057
7.11517,441045
7.11898,487222
7.1228,516417
7.12662,524013
7.13042,510148
7.13423,478621
7.13805,437972
7.14187,396313
7.14567,359920
7.14948,331819
7.1533,311099
7.15712,294927
7.16092,282541
7.16473,271559
7.16855,259897
7.17237,247214
7.17617,233300
7.17998,219255
7.1838,207247
7.18762,198449
7.19142,192055
7.19523,187739
7.19905,187528
7.20287,193206
7.20667,206360
7.21048,228337
7.2143,258138
7.21812,291687
7.22192,327157
7.22573,361672
7.22955,396208
7.23337,425553
7.23718,446829
7.24098,461163
7.2448,471225
7.24862,478355
7.25243,478808
7.25623,469306
7.26005,448669
7.26387,418207
7.26768,381738
7.27148,342631
7.2753,303941
7.27912,266624
7.28293,231371
7.28673,199904
7.29055,172978
7.29437,149610
7.29818,128722
7.30198,111133
7.3058,97954
7.30962,87632
7.31343,80285
7.31723,76267
7.32105,74732
7.32487,74491
7.32868,74679
7.33248,75871
7.3363,77842
7.34012,80626
7.34393,85092
7.34773,92497
7.35155,104461
7.35537,120145
7.35918,137293
7.363,153500
7.3668,167782
7.37062,179022
7.37443,186496
7.37825,192066
7.38205,199380
7.38587,212470
7.38968,235643
7.3935,272273
7.3973,328833
7.40112,409204
7.40493,512075
7.40875,629881
7.41255,747108
7.41637,846993
7.42018,912890
7.424,931039
7.4278,899266
7.43162,828046
7.43543,733564
7.43925,629440
7.44305,528865
7.44687,441408
7.45068,372136
7.4545,323832
7.4583,297466
7.46212,292469
7.46593,305462
7.46975,331398
7.47357,365330
7.47737,403845
7.48118,442360
7.485,476405
7.48882,503736
7.49262,525632
7.49643,541794
7.50025,552473
7.50407,559390
7.50787,564168
7.51168,577136
7.5155,628020
7.51932,769228
7.52312,1085116
7.52693,1695827
7.53075,2738205
7.53457,4327141
7.53837,6491245
7.54218,9121801
7.546,1.20E+07
7.54982,1.48E+07
7.55362,1.72E+07
7.55743,1.91E+07
7.56125,2.02E+07
7.56507,2.04E+07
7.56887,1.99E+07
7.57268,1.85E+07
7.5765,1.65E+07
7.58032,1.41E+07
7.58413,1.15E+07
7.58793,8974536
7.59175,6771993
7.59557,4961141
7.59938,3564177
7.60318,2532349
7.607,1788912
7.61082,1263905
7.61463,902000
7.61843,656405
7.62225,491787
7.62607,385607
7.62988,324202
7.63368,301795
7.6375,318355
7.64132,377841
7.64513,490313
7.64893,662560
7.65275,893595
